metodo,query,esperado,top1,top3,top5_scores,acerto_top1,hit_at_3,mrr
Sentence-BERT,quero desenvolver modelos de machine learning para produtos reais,ml_engineer,ml_engineer,ml_engineer|ai_researcher|mlops_engineer,ml_engineer:0.6300|ai_researcher:0.5900|mlops_engineer:0.5479|data_scientist:0.5396|nlp_engineer:0.5271,1,1,1.0
TF-IDF,quero desenvolver modelos de machine learning para produtos reais,ml_engineer,mlops_engineer,mlops_engineer|ml_engineer|deep_learning_engineer,mlops_engineer:0.2881|ml_engineer:0.1300|deep_learning_engineer:0.0835|data_engineer:0.0603|nlp_engineer:0.0577,0,1,0.5
Sentence-BERT,"tenho interesse em chatbots, busca semantica e modelos de linguagem",nlp_engineer,nlp_engineer,nlp_engineer|robotics_engineer|ai_researcher,nlp_engineer:0.6888|robotics_engineer:0.4903|ai_researcher:0.4742|ml_engineer:0.4689|computer_vision_scientist:0.4545,1,1,1.0
TF-IDF,"tenho interesse em chatbots, busca semantica e modelos de linguagem",nlp_engineer,nlp_engineer,nlp_engineer|mlops_engineer|ml_engineer,nlp_engineer:0.4308|mlops_engineer:0.1144|ml_engineer:0.0981|deep_learning_engineer:0.0821|ai_researcher:0.0642,1,1,1.0
Sentence-BERT,"quero construir pipelines de dados, ETL e data warehouses",data_engineer,data_engineer,data_engineer|backend_developer|database_administrator,data_engineer:0.7811|backend_developer:0.5493|database_administrator:0.5208|ml_engineer:0.4657|bi_analyst:0.4558,1,1,1.0
TF-IDF,"quero construir pipelines de dados, ETL e data warehouses",data_engineer,data_engineer,data_engineer|bi_analyst|database_administrator,data_engineer:0.3877|bi_analyst:0.1637|database_administrator:0.1151|data_scientist:0.1114|data_analyst:0.0985,1,1,1.0
Sentence-BERT,"gosto de arquitetura de software, testes automatizados e manutencao de sistemas",software_engineer,software_engineer,software_engineer|backend_developer|mlops_engineer,software_engineer:0.6486|backend_developer:0.6108|mlops_engineer:0.5105|algorithms_specialist:0.5054|database_administrator:0.4869,1,1,1.0
TF-IDF,"gosto de arquitetura de software, testes automatizados e manutencao de sistemas",software_engineer,software_engineer,software_engineer|backend_developer|robotics_engineer,software_engineer:0.4233|backend_developer:0.3314|robotics_engineer:0.1323|control_engineer:0.1265|pattern_recognition_engineer:0.1124,1,1,1.0
Sentence-BERT,quero trabalhar com deteccao de objetos em imagens e videos,computer_vision_scientist,computer_vision_scientist,computer_vision_scientist|robotics_engineer|data_analyst,computer_vision_scientist:0.6718|robotics_engineer:0.4821|data_analyst:0.4517|software_engineer:0.4388|pattern_recognition_engineer:0.4206,1,1,1.0
TF-IDF,quero trabalhar com deteccao de objetos em imagens e videos,computer_vision_scientist,computer_vision_scientist,computer_vision_scientist|data_mining_specialist|software_engineer,computer_vision_scientist:0.4178|data_mining_specialist:0.1525|software_engineer:0.0757|optimization_engineer:0.0560|backend_developer:0.0440,1,1,1.0
Sentence-BERT,quero pesquisar novos algoritmos de inteligencia artificial e escrever artigos,ai_researcher,ai_researcher,ai_researcher|algorithms_specialist|ml_engineer,ai_researcher:0.7449|algorithms_specialist:0.5542|ml_engineer:0.4987|robotics_engineer:0.4753|nlp_engineer:0.4703,1,1,1.0
TF-IDF,quero pesquisar novos algoritmos de inteligencia artificial e escrever artigos,ai_researcher,ai_researcher,ai_researcher|algorithms_specialist|robotics_engineer,ai_researcher:0.3997|algorithms_specialist:0.1889|robotics_engineer:0.1135|software_engineer:0.0469|optimization_engineer:0.0433,1,1,1.0
Sentence-BERT,quero descobrir padroes em grandes bases de dados e segmentar usuarios,data_mining_specialist,data_mining_specialist,data_mining_specialist|data_engineer|database_administrator,data_mining_specialist:0.6526|data_engineer:0.5673|database_administrator:0.5583|data_analyst:0.5544|bi_analyst:0.5221,1,1,1.0
